,Academic Year,Pupil's Name,Parental Contact Full Name,Parental Contact Email Address
0,2,"Nellies, Ronna","Nellies, Purcell",Purcell.Nellies@Demizz.com
1,4,"Andriulis, Rusty","Andriulis, Vassili",Vassili.Andriulis@Brainbox.com
2,4,"Oakeshott, Roberta","Oakeshott, Haskell",Haskell.Oakeshott@Centidel.com
3,4,"Rubinfajn, Lola","Rubinfajn, Tresa",Tresa.Rubinfajn@Edgeblab.com
4,4,"Benedtti, Kamila","Benedtti, Adela",Adela.Benedtti@Trudoo.com
5,4,"Colebourn, Avery","Colebourn, Dalenna",Dalenna.Colebourn@Linktype.com
6,1,"Klimko, Valentino","Klimko, Onofredo",Onofredo.Klimko@Thoughtblab.com
7,1,"Shearwood, Cal","Shearwood, Berne",Berne.Shearwood@Browseblab.com
8,3,"Truswell, King","Truswell, Evvy",Evvy.Truswell@Photospace.com
9,1,"Stichall, Towney","Stichall, Joyann",Joyann.Stichall@Kwimbee.com
10,3,"Mc Dermid, Aubrette","Mc Dermid, Giraldo",Giraldo.Mc Dermid@Oyonder.com
11,3,"Chatres, Adah","Chatres, Dalia",Dalia.Chatres@Jabbercube.com
12,2,"Titterton, Benedikt","Titterton, Zelma",Zelma.Titterton@Blogtag.com
13,3,"Harberer, Rosina","Harberer, Esther",Esther.Harberer@Trilith.com
14,3,"Filinkov, Panchito","Filinkov, Dasi",Dasi.Filinkov@Flashspan.com
15,3,"Strike, Samara","Strike, Harlene",Harlene.Strike@Innojam.com
16,4,"McCormack, Joane","McCormack, Marsiella",Marsiella.McCormack@Zooxo.com
17,2,"Sitlinton, Griffie","Sitlinton, Hunfredo",Hunfredo.Sitlinton@Meedoo.com
18,1,"Silversmidt, Gilberta","Silversmidt, Tawsha",Tawsha.Silversmidt@Babbleblab.com
19,4,"Matkovic, Marjie","Matkovic, Finn",Finn.Matkovic@Youbridge.com
20,4,"Cowterd, Uri","Cowterd, Larina",Larina.Cowterd@Jabbersphere.com
21,1,"Mattisson, Korella","Mattisson, Marsha",Marsha.Mattisson@Flipopia.com
22,2,"Schonfelder, Findlay","Schonfelder, Aldridge",Aldridge.Schonfelder@Dabtype.com
23,3,"Jantzen, Jaquelyn","Jantzen, Jayme",Jayme.Jantzen@Vitz.com
24,4,"Gradwell, Davina","Gradwell, Junie",Junie.Gradwell@Leexo.com
25,2,"Selby, Nicolea","Selby, Rheba",Rheba.Selby@Kwimbee.com
26,3,"Alelsandrovich, Moselle","Alelsandrovich, Quentin",Quentin.Alelsandrovich@Feedfire.com
27,1,"Nieass, Honey","Nieass, Hermon",Hermon.Nieass@Gigabox.com
28,3,"Godfroy, Akim","Godfroy, Maren",Maren.Godfroy@Buzzshare.com
29,3,"Floch, Karole","Floch, Cynthia",Cynthia.Floch@Zava.com
30,1,"Feldbaum, Nata","Feldbaum, Zita",Zita.Feldbaum@Skidoo.com
31,4,"Antonucci, Jaquelin","Antonucci, Mathe",Mathe.Antonucci@DabZ.com
32,2,"Hallums, Candra","Hallums, Raye",Raye.Hallums@Realbridge.com
33,1,"Masters, Den","Masters, Hermon",Hermon.Masters@Photospace.com
34,4,"Marris, Janifer","Marris, Ilyssa",Ilyssa.Marris@Thoughtworks.com
35,4,"Bremmer, Carolus","Bremmer, Gal",Gal.Bremmer@Kanoodle.com
36,1,"Addicote, Casey","Addicote, Vina",Vina.Addicote@Fiveclub.com
37,2,"De Ath, Brigida","De Ath, Alastair",Alastair.De Ath@Eamia.com
38,4,"Severs, Kimberli","Severs, Annabell",Annabell.Severs@Jaxspan.com
39,2,"Blumson, Maribeth","Blumson, Sarajane",Sarajane.Blumson@Topicblab.com
40,3,"Rosenauer, Arabele","Rosenauer, Vernen",Vernen.Rosenauer@Zava.com
41,2,"Cominetti, Madison","Cominetti, Paulie",Paulie.Cominetti@Tekfly.com
42,2,"Knoton, Verina","Knoton, Melantha",Melantha.Knoton@Jabbercube.com
43,2,"Clubbe, Wolfgang","Clubbe, Claudelle",Claudelle.Clubbe@Cogilith.com
