,Pupil Name,Date of Birth,This Year's Birthday,Month,Cake Needed On,BDs per Weekday and Month
0,Ronna Nellies,12/21/2013,12/21/2022,December,Wednesday,9
1,Rusty Andriulis,7/21/2012,7/21/2022,July,Thursday,12
2,Roberta Oakeshott,12/4/2011,12/4/2022,December,Friday,45
3,Lola Rubinfajn,6/29/2012,6/29/2022,June,Wednesday,15
4,Kamila Benedtti,7/10/2012,7/10/2022,July,Friday,49
5,Avery Colebourn,8/30/2012,8/30/2022,August,Tuesday,15
6,Valentino Klimko,12/23/2014,12/23/2022,December,Friday,45
7,Cal Shearwood,1/18/2015,1/18/2022,January,Tuesday,12
8,King Truswell,9/14/2012,9/14/2022,September,Wednesday,7
9,Towney Stichall,6/4/2015,6/4/2022,June,Friday,30
10,Aubrette Mc Dermid,10/9/2012,10/9/2022,October,Friday,32
11,Adah Chatres,12/27/2012,12/27/2022,December,Tuesday,8
12,Benedikt Titterton,1/10/2014,1/10/2022,January,Monday,14
13,Rosina Harberer,12/23/2012,12/23/2022,December,Friday,45
14,Panchito Filinkov,6/9/2013,6/9/2022,June,Thursday,12
15,Samara Strike,6/26/2013,6/26/2022,June,Friday,30
16,Joane McCormack,4/17/2012,4/17/2022,April,Friday,55
17,Griffie Sitlinton,3/24/2014,3/24/2022,March,Thursday,19
18,Gilberta Silversmidt,9/8/2014,9/8/2022,September,Thursday,14
19,Marjie Matkovic,12/4/2011,12/4/2022,December,Friday,45
20,Uri Cowterd,12/12/2011,12/12/2022,December,Monday,20
21,Korella Mattisson,4/3/2015,4/3/2022,April,Friday,55
22,Findlay Schonfelder,1/19/2014,1/19/2022,January,Wednesday,14
23,Jaquelyn Jantzen,10/20/2012,10/20/2022,October,Thursday,14
24,Davina Gradwell,11/7/2011,11/7/2022,November,Monday,11
25,Nicolea Selby,4/4/2014,4/4/2022,April,Monday,10
26,Moselle Alelsandrovich,12/22/2012,12/22/2022,December,Thursday,20
27,Honey Nieass,11/23/2014,11/23/2022,November,Wednesday,17
28,Akim Godfroy,9/30/2012,9/30/2022,September,Friday,36
29,Karole Floch,11/6/2012,11/6/2022,November,Friday,39
30,Nata Feldbaum,5/7/2015,5/7/2022,May,Friday,31
31,Jaquelin Antonucci,5/3/2012,5/3/2022,May,Tuesday,15
32,Candra Hallums,8/11/2014,8/11/2022,August,Thursday,10
33,Den Masters,10/3/2014,10/3/2022,October,Monday,14
34,Janifer Marris,5/21/2012,5/21/2022,May,Friday,31
35,Carolus Bremmer,9/15/2011,9/15/2022,September,Thursday,14
36,Casey Addicote,9/25/2014,9/25/2022,September,Friday,36
37,Brigida De Ath,8/7/2014,8/7/2022,August,Friday,24
